epoch,detection_loss,domain_loss
1,171.21400833129883,67.90157270431519
2,134.96782785654068,59.91490709781647
3,133.8952872157097,58.89998584985733
4,132.9027749300003,58.569362699985504
5,132.65219902992249,58.40532633662224
6,132.19583815336227,58.301942735910416
7,132.15600502490997,58.23616099357605
8,130.7609001994133,58.18270754814148
9,131.5753058195114,58.14460453391075
10,130.84973526000977,58.113901138305664
11,130.86112594604492,58.08347764611244
12,130.9585862159729,58.07250717282295
13,129.60870897769928,58.058401852846146
14,130.02701330184937,58.037147641181946
15,129.9821907877922,58.026034623384476
16,129.36975169181824,58.01829293370247
17,129.33423042297363,58.00453346967697
18,129.1625519990921,57.995310455560684
19,129.17555153369904,57.987879395484924
20,127.83171862363815,57.97860485315323
