epoch,det_loss,dann_loss,cdan_loss,lambda1,lambda2
1,241.10717952251434,90.92314001917839,91.54288327693939,1.0,1.0
2,201.94983226060867,86.45026597380638,86.49234712123871,1.0,1.0
3,200.75483417510986,86.26944971084595,86.29083928465843,1.0,1.0
4,198.30827367305756,86.18248990178108,86.19743084907532,1.0,1.0
5,197.44446754455566,86.15979507565498,86.17457845807076,1.0,1.0
6,196.67686879634857,86.12082278728485,86.13393729925156,1.0,1.0
7,197.62539875507355,86.11263108253479,86.12788754701614,1.0,1.0
8,196.42103344202042,86.10247135162354,86.12476134300232,1.0,1.0
9,196.09720104932785,86.53182029724121,87.51665663719177,1.0,1.0
10,196.06648308038712,91.96591332554817,118.8106085062027,1.0,1.0
11,195.8738984465599,90.2405424118042,114.34944611787796,1.0,1.0
12,194.5722535252571,91.28178432583809,114.27363219857216,1.0,1.0
13,193.65385299921036,90.83477535843849,105.99244475364685,1.0,1.0
14,193.030979514122,89.7111269235611,120.07575285434723,1.0,1.0
15,192.82858169078827,90.0317388176918,120.07590025663376,1.0,1.0
16,191.63785845041275,88.96462121605873,117.3070776462555,1.0,1.0
17,192.94284760951996,90.48001405596733,114.254798412323,1.0,1.0
18,192.09833747148514,88.69579690694809,93.65540164709091,1.0,1.0
19,190.96596902608871,90.02538576722145,96.99155050516129,1.0,1.0
20,190.41082739830017,90.37613293528557,104.11198192834854,1.0,1.0
